"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"zx_3D_Tunnel_1983","DELETE","zx_3D_Tunnel_1983_New_Generation_Software_de","zx_3D_Tunnel_1983_New_Generation_Software","Deleted",""
"zx_3D_Tunnel_1983","DELETE","zx_3D_Tunnel_1983_New_Generation_Software_es","zx_3D_Tunnel_1983_New_Generation_Software","Deleted",""
"zx_Megaphoenix_1991_Dinamic","DELETE","zx_Megaphoenix_1991_Dinamic_Software_a","zx_Megaphoenix_1991_Dinamic_Software","Deleted",""
"zx_Megaphoenix_1991_Dinamic","DELETE","zx_Megaphoenix_1991_Dinamic_Software_a2","zx_Megaphoenix_1991_Dinamic_Software","Deleted",""
"zx_Mutants_1987_Ocean","DELETE","zx_Mutants_1987_Ocean_128K","zx_Mutants_1987_Ocean","Deleted",""
"zx_Advanced_Pinball_Simulator","DELETE","zx_Advanced_Pinball_Simulator_1990_Codemasters_128K","zx_Advanced_Pinball_Simulator_1990_Codemasters","Deleted",""
"zx_Advanced_Pinball_Simulator","DELETE","zx_Advanced_Pinball_Simulator_1990_Codemasters_a","zx_Advanced_Pinball_Simulator_1990_Codemasters","Deleted",""
"zx_Advanced_Pinball_Simulator","DELETE","zx_Advanced_Pinball_Simulator_1990_Codemasters_a2","zx_Advanced_Pinball_Simulator_1990_Codemasters","Deleted",""
"Dickys_Diamonds_1983_Romik","DELETE","Dickys_Diamonds_1983_Romik_Software_h_ASS","Dickys_Diamonds_1983_Romik_Software","Deleted",""
"Dickys_Diamonds_1983_Romik","DELETE","Dickys_Diamonds_1983_Romik_Software_h_HF_t_2_HF","Dickys_Diamonds_1983_Romik_Software","Deleted",""
"Bulls_Eye_1985_Macsen","DELETE","Bulls_Eye_1985_Macsen_Software_fr","Bulls_Eye_1985_Macsen_Software","Deleted",""
"zx_Penetrator_1982_Melbourne","DELETE","zx_Penetrator_1982_Melbourne_House_a","zx_Penetrator_1982_Melbourne_House","Deleted",""
