"Action","FolderName","FromPath","ToPath","Year","Status"
"MOVE","a8b_Adventure_No._12_The_Golden_Voyage_v3.9_182_1981_Adventure_International_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._12_The_Golden_Voyage_v3.9_182_1981_Adventure_International_US","..\thumbnails-deduped\1981\a8b_Adventure_No._12_The_Golden_Voyage_v3.9_182_1981_Adventure_International_US","1981","Success"
"MOVE","a8b_Adventure_No._13_The_Sorcerer_of_Claymorgue_Castle_v3.9_123_1981_Adventure_Inter","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_No._13_The_Sorcerer_of_Claymorgue_Castle_v3.9_123_1981_Adventure_Inter","..\thumbnails-deduped\1981\a8b_Adventure_No._13_The_Sorcerer_of_Claymorgue_Castle_v3.9_123_1981_Adventure_Inter","1981","Success"
"MOVE","a8b_Adventure_Quest_1983_Level_9_Computing","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Adventure_Quest_1983_Level_9_Computing","..\thumbnails-deduped\1983\a8b_Adventure_Quest_1983_Level_9_Computing","1983","Success"
"MOVE","a8b_Agent_USA_1984_Scholastic_Wizware_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Agent_USA_1984_Scholastic_Wizware_US","..\thumbnails-deduped\1984\a8b_Agent_USA_1984_Scholastic_Wizware_US","1984","Success"
"MOVE","a8b_Airline_1985_Ariolasoft_DE","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Airline_1985_Ariolasoft_DE","..\thumbnails-deduped\1985\a8b_Airline_1985_Ariolasoft_DE","1985","Success"
"MOVE","a8b_Airwolf_1985_Elite_GB_cr_N.A.P.O._k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Airwolf_1985_Elite_GB_cr_N.A.P.O._k_file","..\thumbnails-deduped\1985\a8b_Airwolf_1985_Elite_GB_cr_N.A.P.O._k_file","1985","Success"
"MOVE","a8b_Alf_in_the_Color_Caves_1984_Spinnaker_Software_US_a_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Alf_in_the_Color_Caves_1984_Spinnaker_Software_US_a_k_file","..\thumbnails-deduped\1984\a8b_Alf_in_the_Color_Caves_1984_Spinnaker_Software_US_a_k_file","1984","Success"
"MOVE","a8b_Aliants_1987_TDC_Distributors_US_h_Thunder_Dome_BBS","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Aliants_1987_TDC_Distributors_US_h_Thunder_Dome_BBS","..\thumbnails-deduped\1987\a8b_Aliants_1987_TDC_Distributors_US_h_Thunder_Dome_BBS","1987","Success"
"MOVE","a8b_Aliants_198x_TDC_Distributors_US_preview","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Aliants_198x_TDC_Distributors_US_preview","..\thumbnails-deduped\1980\a8b_Aliants_198x_TDC_Distributors_US_preview","1980","Success"
"MOVE","a8b_Alphabet_Zoo_1983_Spinnaker_Software_US_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Alphabet_Zoo_1983_Spinnaker_Software_US_k_file","..\thumbnails-deduped\1983\a8b_Alphabet_Zoo_1983_Spinnaker_Software_US_k_file","1983","Success"
